iter	RMSE
0	5.876879391
1	5.76940342
2	5.664266773
3	5.564089863
4	5.467118207
5	5.374068348
6	5.284758525
7	5.200490127
8	5.117875806
9	5.037866036
10	4.961543995
11	4.88801941
12	4.818248927
13	4.750893444
14	4.686407643
15	4.625688448
16	4.566364365
17	4.509176639
18	4.45513824
19	4.404099785
20	4.354068271
21	4.305710572
22	4.259781566
23	4.215546692
24	4.173629585
25	4.133464295
26	4.095104889
27	4.057822317
28	4.022623087
29	3.988093296
30	3.957776105
31	3.926258966
32	3.896888513
33	3.868859653
34	3.842615376
35	3.816444707
36	3.792206911
37	3.76945463
38	3.7473094
39	3.725514621
40	3.705452821
41	3.685973418
42	3.66687408
43	3.649754612
44	3.632356118
45	3.616071743
46	3.599752108
47	3.584496553
48	3.569840635
49	3.556115618
50	3.542255
51	3.529978598
52	3.517494451
53	3.506667954
54	3.495880838
55	3.48504501
56	3.474623043
57	3.464963377
58	3.455378731
59	3.446074075
60	3.437970525
61	3.429773337
62	3.421939913
63	3.414346689
64	3.407279831
65	3.400515477
66	3.394205057
67	3.388011367
68	3.381954045
69	3.37655638
70	3.37054424
71	3.364752219
72	3.359219131
73	3.354399616
74	3.349398002
75	3.345105413
76	3.340802851
77	3.33621623
78	3.331317782
79	3.327159232
80	3.323488061
81	3.319816176
82	3.316101077
83	3.312679282
84	3.308530546
85	3.304919812
86	3.301511339
87	3.298355481
88	3.294728042
89	3.291000993
90	3.288131669
91	3.285477117
92	3.282293782
93	3.279163051
94	3.27693677
95	3.274838326
96	3.272306454
97	3.27009454
98	3.266971619
99	3.264189813
100	3.261112778
101	3.258995319
102	3.256559558
103	3.254409296
104	3.252494798
105	3.250055144
106	3.248267549
107	3.246106343
108	3.244123979
109	3.24226646
110	3.239541162
111	3.237515304
112	3.235250424
113	3.233205741
114	3.230624204
115	3.228587808
116	3.227040318
117	3.225392834
118	3.223530221
119	3.222150024
120	3.22058728
121	3.218702948
122	3.216914329
123	3.215136062
124	3.213321628
125	3.21153129
126	3.209844388
127	3.208448299
128	3.20653922
129	3.205121751
130	3.203710961
131	3.202126447
132	3.200445953
133	3.199347534
134	3.197332564
135	3.195768584
136	3.193754583
137	3.192192177
138	3.190676044
139	3.189525906
140	3.187486261
141	3.186319981
142	3.185199721
143	3.184145328
144	3.183300092
145	3.181808469
146	3.180548412
147	3.179458258
148	3.177990793
149	3.176413875
150	3.175357557
151	3.173660722
152	3.172337133
153	3.171210565
154	3.169528684
155	3.167237725
156	3.166018599
157	3.164890145
158	3.163700982
159	3.162302079
160	3.161090501
161	3.15964244
162	3.158801388
163	3.157657331
164	3.156641405
165	3.155456791
166	3.154219486
167	3.1532615
168	3.152016859
169	3.151021632
170	3.149867521
171	3.14888215
172	3.147959493
173	3.147191909
174	3.145964951
175	3.14500194
176	3.143832192
177	3.14297828
178	3.141782342
179	3.140819122
180	3.140093041
181	3.13862713
182	3.13781747
183	3.136925397
184	3.13546134
185	3.134540773
186	3.133220104
187	3.132482874
188	3.131537001
189	3.130771368
190	3.12988263
191	3.128941364
192	3.127967463
193	3.127124627
194	3.126147258
195	3.125339174
196	3.124464013
197	3.123618865
198	3.122750702
199	3.122067428
200	3.121173512
201	3.12051486
202	3.119733593
203	3.118566214
204	3.117416063
205	3.116390356
206	3.115556193
207	3.114432028
208	3.113605626
209	3.112843401
210	3.112035628
211	3.111433215
212	3.110481159
213	3.109091728
214	3.108071355
215	3.107203282
216	3.10594185
217	3.105130309
218	3.104093651
219	3.103065825
220	3.101828404
221	3.100952416
222	3.100259305
223	3.099153304
224	3.098422924
225	3.097507501
226	3.096607953
227	3.095763806
228	3.094967507
229	3.09415421
230	3.093542636
231	3.092905837
232	3.092428457
233	3.091482303
234	3.090738969
235	3.08997315
236	3.089439963
237	3.088471557
238	3.087915565
239	3.086995147
240	3.085679321
241	3.08446372
242	3.083845066
243	3.083210523
244	3.082134857
245	3.08103693
246	3.08047253
247	3.079719
248	3.079065516
249	3.07850986
250	3.078197984
251	3.077331478
252	3.076321318
253	3.075295617
254	3.074400127
255	3.073659397
256	3.072893449
257	3.072178738
258	3.071573559
259	3.070749716
260	3.069827402
261	3.06854478
262	3.067783992
263	3.067186359
264	3.066680294
265	3.066182542
266	3.065626129
267	3.064990794
268	3.064415523
269	3.06388313
270	3.06289422
271	3.062289719
272	3.061492972
273	3.060937428
274	3.060140302
275	3.0595015
276	3.059073773
277	3.05774464
278	3.057107877
279	3.056447171
280	3.055726682
281	3.055116628
282	3.054488849
283	3.053501588
284	3.052794373
285	3.051951763
286	3.051150014
287	3.050545144
288	3.050190794
289	3.049347136
290	3.048643613
291	3.047905554
292	3.047217098
293	3.046665149
294	3.045715267
295	3.044699169
296	3.043965534
297	3.043196801
298	3.042573494
299	3.041494403
300	3.040899978
301	3.040199306
302	3.039196708
303	3.038010945
304	3.037423867
305	3.036734713
306	3.035934355
307	3.035102125
308	3.034450308
309	3.033619522
310	3.033089123
311	3.032559199
312	3.032138113
