iter	Passed	Remaining
0	218	436727
1	263	262790
2	294	195788
3	320	160111
4	349	139322
5	378	125685
6	406	115675
7	439	109550
8	473	104821
9	508	101236
10	541	97829
11	569	94396
12	597	91278
13	623	88513
14	652	86328
15	679	84263
16	707	82493
17	735	80993
18	765	79801
19	793	78605
20	824	77679
21	858	77142
22	886	76167
23	915	75366
24	942	74455
25	969	73634
26	996	72837
27	1023	72091
28	1050	71430
29	1078	70795
30	1103	70120
31	1140	70110
32	1174	69987
33	1210	70009
34	1244	69857
35	1277	69691
36	1307	69392
37	1338	69126
38	1371	68950
39	1400	68645
40	1429	68299
41	1465	68337
42	1499	68250
43	1529	68000
44	1561	67832
45	1593	67680
46	1621	67385
47	1652	67199
48	1681	66963
49	1708	66649
50	1737	66399
51	1765	66153
52	1793	65901
53	1822	65676
54	1852	65514
55	1883	65388
56	1915	65306
57	1944	65095
58	1972	64905
59	2003	64794
60	2033	64649
61	2064	64524
62	2093	64371
63	2122	64211
64	2153	64099
65	2182	63960
66	2211	63799
67	2239	63619
68	2267	63456
69	2297	63340
70	2328	63257
71	2362	63262
72	2398	63318
73	2433	63327
74	2465	63269
75	2502	63346
76	2532	63242
77	2563	63158
78	2595	63107
79	2626	63024
80	2661	63052
81	2695	63043
82	2767	63912
83	2811	64122
84	2843	64065
85	2878	64056
86	2915	64112
87	2948	64058
88	2974	63872
89	3000	63671
90	3025	63468
91	3052	63311
92	3077	63105
93	3107	63013
94	3159	63363
95	3194	63355
96	3229	63354
97	3257	63216
98	3287	63134
99	3315	63000
100	3348	62965
101	3381	62930
102	3413	62866
103	3446	62838
104	3480	62810
105	3513	62784
106	3548	62772
107	3582	62753
108	3608	62607
109	3633	62432
110	3659	62273
111	3685	62125
112	3710	61966
113	3738	61841
114	3765	61728
115	3799	61703
116	3834	61712
117	3870	61726
118	3900	61652
119	3932	61602
120	3957	61456
121	3985	61348
122	4010	61202
123	4038	61094
124	4064	60970
125	4096	60925
126	4127	60872
127	4159	60837
128	4191	60794
129	4219	60700
130	4247	60595
131	4272	60468
132	4299	60358
133	4324	60226
134	4348	60077
135	4374	59962
136	4402	59867
137	4430	59777
138	4456	59662
139	4481	59538
140	4506	59409
141	4530	59280
142	4557	59189
143	4585	59101
144	4611	58999
145	4639	58914
146	4666	58825
147	4693	58732
148	4718	58614
149	4744	58516
150	4771	58424
151	4798	58336
152	4825	58258
153	4852	58167
154	4877	58062
155	4903	57958
156	4931	57890
157	4956	57787
158	4982	57687
159	5007	57589
160	5033	57496
161	5059	57406
162	5084	57305
163	5110	57211
164	5136	57128
165	5164	57059
166	5191	56984
167	5221	56942
168	5252	56907
169	5281	56854
170	5316	56862
171	5355	56912
172	5386	56883
173	5423	56910
174	5454	56886
175	5484	56841
176	5525	56913
177	5566	56980
178	5606	57033
179	5640	57035
180	5676	57046
181	5721	57151
182	5764	57236
183	5797	57214
184	5829	57195
185	5860	57155
186	5890	57106
187	5915	57017
188	5946	56982
189	5976	56937
190	6005	56874
191	6043	56905
192	6084	56962
193	6124	57010
194	6162	57039
195	6197	57040
196	6227	56993
197	6259	56963
198	6287	56899
199	6313	56822
200	6343	56772
201	6385	56835
202	6432	56945
203	6481	57063
204	6517	57066
205	6547	57016
206	6579	56986
207	6608	56938
208	6639	56895
209	6668	56842
210	6697	56788
211	6726	56726
212	6755	56677
213	6784	56618
214	6814	56572
215	6843	56524
216	6872	56468
217	6899	56399
218	6927	56337
219	6956	56284
220	6989	56267
221	7016	56197
222	7042	56120
223	7071	56070
224	7099	56004
225	7126	55939
226	7153	55875
227	7182	55819
228	7208	55747
229	7252	55808
230	7301	55913
231	7337	55917
232	7371	55904
233	7402	55865
234	7433	55829
235	7461	55774
236	7488	55704
237	7516	55643
238	7542	55576
239	7571	55524
240	7604	55500
241	7632	55448
242	7678	55515
243	7729	55626
244	7779	55727
245	7837	55882
246	7887	55976
247	7928	56012
248	7969	56039
249	8016	56117
250	8057	56148
251	8094	56148
252	8133	56165
253	8173	56181
254	8210	56188
255	8246	56181
256	8285	56192
257	8323	56197
258	8356	56171
259	8385	56119
260	8416	56075
261	8453	56075
262	8484	56038
263	8518	56012
264	8546	55954
265	8577	55917
266	8608	55876
267	8641	55846
268	8677	55842
269	8710	55808
270	8742	55774
271	8773	55735
272	8805	55702
273	8841	55694
274	8872	55656
275	8903	55615
276	8931	55557
277	8960	55505
278	8991	55465
279	9023	55429
280	9051	55372
281	9079	55314
282	9107	55256
283	9137	55213
284	9165	55151
285	9192	55091
286	9222	55046
287	9252	55003
288	9279	54941
289	9307	54881
290	9340	54853
291	9367	54791
292	9395	54735
293	9425	54695
294	9459	54670
295	9490	54631
296	9518	54580
297	9550	54547
298	9580	54502
299	9608	54449
300	9641	54423
301	9672	54382
302	9705	54359
303	9739	54334
304	9771	54304
305	9805	54282
306	9839	54260
307	9872	54232
308	9907	54216
309	9938	54179
310	9966	54127
311	9996	54086
312	10026	54040
