sample_id,entity_id,date,split,country,location_name,feature_canonical_latitude,feature_canonical_longitude,feature_month_sin,feature_month_cos,feature_day_of_year_sin,feature_day_of_year_cos,feature_rainfall_lag_1d_mm,feature_rainfall_lag_7d_mm,feature_rainfall_lag_30d_mm,feature_rainfall_rolling_7d_mean_prev_mm,feature_rainfall_rolling_30d_sum_prev_mm,feature_rainfall_rolling_90d_mean_prev_mm,feature_wet_spell_days_prev,feature_dry_spell_days_prev,feature_was_wet_previous_day,feature_rainfall_lag_1d_mm_was_imputed,feature_rainfall_lag_7d_mm_was_imputed,feature_rainfall_lag_30d_mm_was_imputed,feature_rainfall_rolling_7d_mean_prev_mm_was_imputed,feature_rainfall_rolling_30d_sum_prev_mm_was_imputed,feature_rainfall_rolling_90d_mean_prev_mm_was_imputed,feature_wet_spell_days_prev_was_imputed,feature_dry_spell_days_prev_was_imputed,feature_was_wet_previous_day_was_imputed
SEA_BN_BANDAR_SERI_BEGAWAN__20200101,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-01,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.0171663297547073,0.9998526477050268,7.0975,7.0825,7.03,9.006428571428573,297.555,9.614888888888888,9.0,0.0,1.0,1,1,1,1,1,1,1,1,1
SEA_BN_BANDAR_SERI_BEGAWAN__20200102,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-02,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.0343276005132434,0.9994106342455052,1.695,7.0825,7.03,9.006428571428573,297.555,9.614888888888888,1.0,0.0,1.0,0,1,1,1,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200103,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-03,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.0514787547703465,0.9986740898848304,1.285,7.0825,7.03,9.006428571428573,297.555,9.614888888888888,2.0,0.0,1.0,0,1,1,1,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200104,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-04,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.068614738002134,0.9976432316860064,3.37,7.0825,7.03,2.1166666666666667,297.555,9.614888888888888,3.0,0.0,1.0,0,1,1,0,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200105,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-05,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.0857305001556943,0.9963183634476755,1.635,7.0825,7.03,1.99625,297.555,9.614888888888888,4.0,0.0,1.0,0,1,1,0,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200106,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-06,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.1028209971373604,0.9946998756145892,4.53,7.0825,7.03,2.503,297.555,9.614888888888888,5.0,0.0,1.0,0,1,1,0,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200107,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-07,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.1198811922992272,0.99278824516254,0.6399999999999999,7.0825,7.03,2.1925000000000003,297.555,9.614888888888888,0.0,1.0,0.0,0,1,1,0,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200108,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-08,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.1369060579234752,0.990584035457797,1.19,1.695,7.03,2.0492857142857144,297.555,9.614888888888888,1.0,0.0,1.0,0,0,1,0,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200109,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-09,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.1538905767040617,0.9880878960910772,39.31,1.285,7.03,7.422857142857143,297.555,9.614888888888888,2.0,0.0,1.0,0,0,1,0,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200110,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-10,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.1708297432253441,0.985300562686109,0.73,3.37,7.03,7.343571428571429,297.555,9.614888888888888,0.0,1.0,0.0,0,0,1,0,1,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200111,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-11,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.1877185654371987,0.9822228566828408,8.344999999999999,1.635,7.03,8.054285714285713,62.73,9.614888888888888,1.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200112,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-12,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.2045520661262008,0.9788556850953578,19.115,4.53,7.03,10.551428571428572,81.845,9.614888888888888,2.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200113,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-13,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.2213252843824325,0.9752000402445824,22.125,0.6399999999999999,7.03,13.065,103.97,9.614888888888888,3.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200114,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-14,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.2380332770614856,0.9712569994658314,3.64,1.19,7.03,13.493571428571428,107.61,9.614888888888888,4.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200115,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-15,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.2546711202412287,0.9670277247913204,9.885,39.31,7.03,14.735714285714286,117.495,9.614888888888888,5.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200116,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-16,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.27123391067291,0.962513462607708,5.565,0.73,7.03,9.915,123.06,9.614888888888888,6.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200117,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-17,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.287716767226167,0.9577155432887804,12.66,8.344999999999999,7.03,11.619285714285713,135.72,9.614888888888888,7.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200118,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-18,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.3041148323275178,0.9526353808033826,12.36,19.115,7.03,12.19285714285714,148.07999999999998,9.614888888888888,8.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200119,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-19,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.3204232733919111,0.9472744722987168,4.695,22.125,7.03,10.132857142857144,152.775,9.614888888888888,9.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200120,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-20,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.3366372842469102,0.941634397659126,5.725,3.64,7.03,7.79,158.5,9.614888888888888,10.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200121,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-21,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.3527520865490948,0.9357168190404936,0.52,9.885,7.03,7.344285714285713,159.02,9.614888888888888,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200122,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-22,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.3687629311922601,0.9295234803804004,0.5,5.565,7.03,6.003571428571428,159.52,9.614888888888888,0.0,2.0,0.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200123,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-23,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.3846650997070012,0.923056206884176,0.32,12.66,7.03,5.254285714285714,159.84,9.614888888888888,0.0,3.0,0.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200124,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-24,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.4004539056512664,0.9163169044870048,0.255,12.36,7.03,3.482142857142857,160.095,9.614888888888888,0.0,4.0,0.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200125,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-25,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.4161246959914744,0.9093075592922358,0.12,4.695,7.03,1.7335714285714283,160.215,9.614888888888888,0.0,5.0,0.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200126,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-26,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.4316728524737838,0.9020302369860708,2.095,5.725,7.03,1.362142857142857,162.31,9.614888888888888,1.0,0.0,1.0,0,0,1,0,0,1,0,0,0
SEA_BN_BANDAR_SERI_BEGAWAN__20200127,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-27,train,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.4999999999999999,0.8660254037844387,0.4470937929851138,0.8944870822287956,7.965,0.52,7.03,1.6821428571428572,170.275,9.614888888888888,2.0,0.0,1.0,0,0,1,0,0,1,0,0,0
