sample_id,entity_id,date,split,country,location_name,target_nasa_power_precipitation_mm,target_open_meteo_precipitation_mm,target_baseline_two_source_mean_mm,target_nasa_reference_consensus_mm,target_open_meteo_reference_consensus_mm
SEA_BN_BANDAR_SERI_BEGAWAN__20200101,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-01,train,Brunei,Bandar Seri Begawan,2.29,1.1,1.695,1.4768548387096776,1.9131451612903223
SEA_BN_BANDAR_SERI_BEGAWAN__20200102,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-02,train,Brunei,Bandar Seri Begawan,1.17,1.4,1.285,1.0668548387096777,1.5031451612903224
SEA_BN_BANDAR_SERI_BEGAWAN__20200103,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-03,train,Brunei,Bandar Seri Begawan,4.84,1.9,3.37,3.1518548387096774,3.5881451612903223
SEA_BN_BANDAR_SERI_BEGAWAN__20200104,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-04,train,Brunei,Bandar Seri Begawan,2.77,0.5,1.635,1.4168548387096775,1.8531451612903225
SEA_BN_BANDAR_SERI_BEGAWAN__20200105,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-05,train,Brunei,Bandar Seri Begawan,0.46,8.6,4.53,4.311854838709678,4.7481451612903225
SEA_BN_BANDAR_SERI_BEGAWAN__20200106,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-06,train,Brunei,Bandar Seri Begawan,0.58,0.7,0.6399999999999999,0.4218548387096774,0.8581451612903225
SEA_BN_BANDAR_SERI_BEGAWAN__20200107,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-07,train,Brunei,Bandar Seri Begawan,0.48,1.9,1.19,0.9718548387096776,1.4081451612903224
SEA_BN_BANDAR_SERI_BEGAWAN__20200108,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-08,train,Brunei,Bandar Seri Begawan,2.32,76.3,39.31,39.09185483870967,39.52814516129032
SEA_BN_BANDAR_SERI_BEGAWAN__20200109,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-09,train,Brunei,Bandar Seri Begawan,0.46,1.0,0.73,0.5118548387096775,0.9481451612903224
SEA_BN_BANDAR_SERI_BEGAWAN__20200110,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-10,train,Brunei,Bandar Seri Begawan,8.49,8.2,8.344999999999999,8.126854838709678,8.563145161290322
SEA_BN_BANDAR_SERI_BEGAWAN__20200111,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-11,train,Brunei,Bandar Seri Begawan,14.33,23.9,19.115,18.896854838709675,19.33314516129032
SEA_BN_BANDAR_SERI_BEGAWAN__20200112,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-12,train,Brunei,Bandar Seri Begawan,18.45,25.8,22.125,21.90685483870968,22.343145161290323
SEA_BN_BANDAR_SERI_BEGAWAN__20200113,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-13,train,Brunei,Bandar Seri Begawan,4.08,3.2,3.64,3.421854838709677,3.858145161290323
SEA_BN_BANDAR_SERI_BEGAWAN__20200114,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-14,train,Brunei,Bandar Seri Begawan,7.97,11.8,9.885,9.666854838709678,10.103145161290325
SEA_BN_BANDAR_SERI_BEGAWAN__20200115,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-15,train,Brunei,Bandar Seri Begawan,5.83,5.3,5.565,5.346854838709677,5.783145161290323
SEA_BN_BANDAR_SERI_BEGAWAN__20200116,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-16,train,Brunei,Bandar Seri Begawan,5.42,19.9,12.66,12.441854838709675,12.87814516129032
SEA_BN_BANDAR_SERI_BEGAWAN__20200117,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-17,train,Brunei,Bandar Seri Begawan,13.72,11.0,12.36,12.141854838709678,12.578145161290324
SEA_BN_BANDAR_SERI_BEGAWAN__20200118,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-18,train,Brunei,Bandar Seri Begawan,4.79,4.6,4.695,4.476854838709677,4.9131451612903225
SEA_BN_BANDAR_SERI_BEGAWAN__20200119,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-19,train,Brunei,Bandar Seri Begawan,1.95,9.5,5.725,5.506854838709677,5.943145161290323
SEA_BN_BANDAR_SERI_BEGAWAN__20200120,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-20,train,Brunei,Bandar Seri Begawan,0.64,0.4,0.52,0.32,0.7381451612903225
SEA_BN_BANDAR_SERI_BEGAWAN__20200121,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-21,train,Brunei,Bandar Seri Begawan,0.2,0.8,0.5,0.2818548387096775,0.7181451612903225
SEA_BN_BANDAR_SERI_BEGAWAN__20200122,SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-22,train,Brunei,Bandar Seri Begawan,0.14,0.5,0.32,0.1018548387096775,0.5381451612903225
