entity_id,country,location_name,canonical_latitude,canonical_longitude,nasa_power_source_entity_key,nasa_power_source_latitude,nasa_power_source_longitude,nasa_power_distance_to_canonical_km,nasa_power_resolution_method,open_meteo_source_entity_key,open_meteo_source_latitude,open_meteo_source_longitude,open_meteo_distance_to_canonical_km,open_meteo_resolution_method
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,4.9031,114.9398,NASA_POWER_DAILY:4.903:114.94,4.903,114.94,0.0248,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:4.8858:114.963,4.8857646,114.96297,3.2102,nearest_canonical_coordinate_within_50km
SEA_ID_JAKARTA,Indonesia,Jakarta,-6.2088,106.8456,NASA_POWER_DAILY:-6.209:106.846,-6.209,106.846,0.0495,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:-6.2214:106.8562,-6.221441,106.856186,1.829,nearest_canonical_coordinate_within_50km
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,11.5564,104.9282,NASA_POWER_DAILY:11.556:104.928,11.556,104.928,0.0495,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:11.5641:104.9464,11.564148,104.94643,2.1648,nearest_canonical_coordinate_within_50km
SEA_LA_VIENTIANE,Laos,Vientiane,17.9757,102.6331,NASA_POWER_DAILY:17.976:102.633,17.976,102.633,0.035,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:17.9613:102.5948,17.961334,102.59475,4.3596,nearest_canonical_coordinate_within_50km
SEA_MM_YANGON,Myanmar,Yangon,16.8409,96.1735,NASA_POWER_DAILY:16.841:96.174,16.841,96.174,0.0544,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:16.8366:96.201,16.836554,96.20096,2.9622,nearest_canonical_coordinate_within_50km
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,3.139,101.6869,NASA_POWER_DAILY:3.139:101.687,3.139,101.687,0.0111,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:3.1283:101.6855,3.1282952,101.68548,1.2007,nearest_canonical_coordinate_within_50km
SEA_PH_MANILA,Philippines,Manila,14.5995,120.9842,NASA_POWER_DAILY:14.6:120.984,14.6,120.984,0.0596,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:14.587:121.0028,14.586995,121.002785,2.4358,nearest_canonical_coordinate_within_50km
SEA_SG_SINGAPORE,Singapore,Singapore,1.3521,103.8198,NASA_POWER_DAILY:1.352:103.82,1.352,103.82,0.0249,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:1.3708:103.8024,1.3708259,103.80237,2.8443,nearest_canonical_coordinate_within_50km
SEA_TH_BANGKOK,Thailand,Bangkok,13.7563,100.5018,NASA_POWER_DAILY:13.756:100.502,13.756,100.502,0.0397,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:13.7434:100.4959,13.743409,100.495865,1.5702,nearest_canonical_coordinate_within_50km
SEA_TL_DILI,Timor-Leste,Dili,-8.5569,125.5603,NASA_POWER_DAILY:-8.557:125.56,-8.557,125.56,0.0348,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:-8.6116:125.5508,-8.611599,125.55077,6.1719,nearest_canonical_coordinate_within_50km
SEA_VN_HANOI,Vietnam,Hanoi,21.0278,105.8342,NASA_POWER_DAILY:21.028:105.834,21.028,105.834,0.0304,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:21.0545:105.8071,21.05448,105.807106,4.0875,nearest_canonical_coordinate_within_50km
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,10.8231,106.6297,NASA_POWER_DAILY:10.823:106.63,10.823,106.63,0.0346,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:10.7909:106.6313,10.790861,106.6313,3.5891,nearest_canonical_coordinate_within_50km
