entity_id,date,country,location_name,canonical_latitude,canonical_longitude,nasa_power_precipitation_mm,nasa_power_temp_mean_c,nasa_power_temp_max_c,nasa_power_temp_min_c,nasa_power_relative_humidity_pct,nasa_power_wind_speed_ms,nasa_power_surface_pressure_kpa,open_meteo_precipitation_mm,open_meteo_temp_mean_c,open_meteo_temp_max_c,open_meteo_temp_min_c,open_meteo_relative_humidity_pct,open_meteo_wind_speed_ms,open_meteo_surface_pressure_kpa,precipitation_mm_mean_two_sources,precipitation_mm_abs_diff
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-01,Brunei,Bandar Seri Begawan,4.9031,114.9398,2.29,27.59,29.24,26.03,85.15,3.61,100.7,1.1,27.1,30.0,23.7,85.0,2.5833,101.07,1.695,1.19
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-02,Brunei,Bandar Seri Begawan,4.9031,114.9398,1.17,27.46,29.2,25.72,84.11,3.51,100.79,1.4,26.9,29.4,24.7,87.0,2.1944,101.09,1.285,0.22999999999999998
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-03,Brunei,Bandar Seri Begawan,4.9031,114.9398,4.84,27.33,28.77,26.13,86.29,3.44,100.68,1.9,26.7,28.8,24.6,88.0,2.0556,100.96,3.37,2.94
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-04,Brunei,Bandar Seri Begawan,4.9031,114.9398,2.77,27.18,28.73,25.57,83.71,3.42,100.53,0.5,27.2,29.2,25.0,85.0,3.3889,100.76,1.635,2.27
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-05,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.46,27.45,29.45,25.61,82.28,2.83,100.51,8.6,26.8,30.0,24.3,87.0,1.5833,100.81,4.53,8.139999999999999
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-06,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.58,27.58,29.63,25.95,83.62,3.05,100.56,0.7,27.4,29.9,24.7,86.0,2.2222,100.85,0.6399999999999999,0.12
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-07,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.48,27.36,29.42,25.63,82.63,2.46,100.57,1.9,27.0,29.5,24.8,87.0,1.6667,100.87,1.19,1.42
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-08,Brunei,Bandar Seri Begawan,4.9031,114.9398,2.32,27.58,29.65,26.07,82.9,3.13,100.49,76.3,26.7,29.8,24.5,88.0,2.5,100.8,39.309999999999995,73.98
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-09,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.46,27.36,29.12,25.75,84.04,3.05,100.42,1.0,26.9,29.5,24.6,88.0,2.3333,100.65,0.73,0.54
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-10,Brunei,Bandar Seri Begawan,4.9031,114.9398,8.49,27.25,28.88,26.09,87.24,3.0,100.35,8.2,26.4,29.4,24.5,91.0,1.3333,100.69,8.344999999999999,0.2900000000000009
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-11,Brunei,Bandar Seri Begawan,4.9031,114.9398,14.33,26.54,27.54,25.4,91.6,2.31,100.41,23.9,25.1,27.2,23.7,96.0,1.3333,100.77,19.115,9.569999999999999
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-12,Brunei,Bandar Seri Begawan,4.9031,114.9398,18.45,25.66,26.97,24.86,89.34,2.53,100.5,25.8,25.1,27.5,23.9,94.0,1.6667,100.8,22.125,7.350000000000001
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-13,Brunei,Bandar Seri Begawan,4.9031,114.9398,4.08,26.18,27.49,24.84,84.59,1.59,100.47,3.2,26.0,28.3,24.5,89.0,1.8056,100.77,3.64,0.8799999999999999
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-14,Brunei,Bandar Seri Begawan,4.9031,114.9398,7.97,26.83,28.53,25.74,87.31,3.19,100.48,11.8,26.0,28.8,24.2,90.0,1.8889,100.87,9.885,3.830000000000001
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-15,Brunei,Bandar Seri Begawan,4.9031,114.9398,5.83,26.95,29.05,25.42,87.35,3.12,100.55,5.3,26.7,30.0,24.4,89.0,1.4167,100.84,5.5649999999999995,0.5300000000000002
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-16,Brunei,Bandar Seri Begawan,4.9031,114.9398,5.42,27.15,28.79,26.25,89.51,2.28,100.58,19.9,26.1,29.8,23.8,93.0,1.3889,100.97,12.66,14.479999999999999
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-17,Brunei,Bandar Seri Begawan,4.9031,114.9398,13.72,26.67,28.25,25.4,86.83,1.52,100.72,11.0,25.5,28.4,23.7,93.0,1.2778,101.07,12.36,2.7200000000000006
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-18,Brunei,Bandar Seri Begawan,4.9031,114.9398,4.79,27.21,29.08,25.56,86.97,1.83,100.62,4.6,26.6,29.2,24.6,89.0,1.6944,100.96,4.695,0.1900000000000004
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-19,Brunei,Bandar Seri Begawan,4.9031,114.9398,1.95,27.37,29.01,26.35,88.16,2.8,100.6,9.5,26.4,29.8,23.9,92.0,1.3889,101.01,5.725,7.55
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-20,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.64,27.85,29.96,26.46,84.98,3.58,100.66,0.4,27.4,30.2,25.1,87.0,2.6389,101.05,0.52,0.24
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-21,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.2,27.74,29.76,26.02,84.79,3.2,100.75,0.8,27.5,30.5,24.6,87.0,1.75,101.1,0.5,0.6000000000000001
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-22,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.14,27.68,29.26,26.61,84.83,3.78,100.72,0.5,26.5,30.0,23.3,88.0,2.4167,101.0,0.32,0.36
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-23,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.01,27.07,29.19,24.91,80.39,3.12,100.62,0.5,26.8,30.0,24.0,85.0,1.8056,100.91,0.255,0.49
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-24,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.04,26.64,28.84,24.71,80.92,2.24,100.66,0.2,27.0,30.1,24.8,85.0,1.75,100.97,0.12000000000000001,0.16
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-25,Brunei,Bandar Seri Begawan,4.9031,114.9398,1.79,27.23,29.31,25.65,85.77,1.9,100.6,2.4,27.0,31.0,24.1,87.0,1.3889,100.9,2.0949999999999998,0.6099999999999999
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-26,Brunei,Bandar Seri Begawan,4.9031,114.9398,8.23,26.95,28.29,25.95,90.05,2.12,100.58,7.7,26.9,29.7,25.0,89.0,1.4444,100.89,7.965,0.5300000000000002
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-27,Brunei,Bandar Seri Begawan,4.9031,114.9398,5.43,27.21,29.04,26.0,88.95,2.6,100.56,9.1,26.7,29.5,25.1,92.0,2.0556,100.89,7.265,3.67
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-28,Brunei,Bandar Seri Begawan,4.9031,114.9398,1.99,27.33,29.42,26.02,88.11,2.33,100.58,3.1,27.4,30.4,25.8,88.0,2.1389,100.91,2.545,1.11
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-29,Brunei,Bandar Seri Begawan,4.9031,114.9398,1.87,27.17,28.72,26.28,87.81,4.12,100.65,3.9,26.5,28.5,24.9,89.0,3.1389,101.0,2.885,2.03
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-30,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.41,26.79,28.34,25.78,83.53,3.71,100.71,2.3,26.0,28.2,24.2,85.0,3.2222,101.02,1.355,1.89
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-31,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.22,26.68,28.58,25.27,83.4,3.29,100.77,1.3,26.3,29.0,24.7,85.0,3.0278,101.11,0.76,1.08
SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-01,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.37,26.88,28.66,25.56,84.1,4.03,100.73,0.9,26.6,28.9,23.6,85.0,3.2222,101.05,0.635,0.53
SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-02,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.15,27.14,28.94,25.77,83.36,3.4,100.77,3.7,26.8,29.7,24.8,86.0,2.25,101.09,1.925,3.5500000000000003
SEA_BN_BANDAR_SERI_BEGAWAN,2020-02-03,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.29,27.15,28.96,25.88,84.71,3.47,100.72,1.9,26.9,29.4,24.9,86.0,2.4167,101.01,1.095,1.6099999999999999
