entity_id,country,location_name,canonical_latitude,canonical_longitude,nasa_power_distance_to_canonical_km,open_meteo_distance_to_canonical_km
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,4.9031,114.9398,0.0248,3.2102
SEA_ID_JAKARTA,Indonesia,Jakarta,-6.2088,106.8456,0.0495,1.829
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,11.5564,104.9282,0.0495,2.1648
SEA_LA_VIENTIANE,Laos,Vientiane,17.9757,102.6331,0.035,4.3596
SEA_MM_YANGON,Myanmar,Yangon,16.8409,96.1735,0.0544,2.9622
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,3.139,101.6869,0.0111,1.2007
SEA_PH_MANILA,Philippines,Manila,14.5995,120.9842,0.0596,2.4358
SEA_SG_SINGAPORE,Singapore,Singapore,1.3521,103.8198,0.0249,2.8443
SEA_TH_BANGKOK,Thailand,Bangkok,13.7563,100.5018,0.0397,1.5702
SEA_TL_DILI,Timor-Leste,Dili,-8.5569,125.5603,0.0348,6.1719
SEA_VN_HANOI,Vietnam,Hanoi,21.0278,105.8342,0.0304,4.0875
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,10.8231,106.6297,0.0346,3.5891
