entity_id,country,location_name,observation_days,mean_daily_precip_mm,median_daily_precip_mm,p95_daily_precip_mm,total_precip_2020_2025_mm,wet_day_ratio,heavy_rain_day_ratio,extreme_rain_day_count,longest_wet_spell_days,longest_dry_spell_days,mean_source_abs_diff_mm
SEA_SG_SINGAPORE,Singapore,Singapore,2192,11.319197080291971,7.745,35.1045,24811.68,0.9187956204379562,0.14142335766423358,42,136,8,10.455164233576642
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2192,10.121774635036497,6.955,29.158999999999995,22186.93,0.8818430656934306,0.13184306569343066,25,129,8,7.8412500000000005
SEA_PH_MANILA,Philippines,Manila,2192,8.187078010948905,4.3375,27.47949999999994,17946.075,0.8097627737226277,0.08302919708029197,43,121,15,7.132604927007299
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,2192,8.0970825729927,5.5425,24.46674999999998,17748.805,0.8576642335766423,0.08667883211678833,8,110,8,6.86327098540146
SEA_ID_JAKARTA,Indonesia,Jakarta,2192,6.861797445255474,4.705,20.533999999999995,15041.06,0.8293795620437956,0.05474452554744526,4,195,22,5.425246350364963
SEA_MM_YANGON,Myanmar,Yangon,2192,6.627285583941606,1.61,26.15449999999996,14527.01,0.5255474452554745,0.0885036496350365,10,164,108,5.875346715328467
SEA_VN_HANOI,Vietnam,Hanoi,2192,5.674274635036497,1.14,25.62,12438.01,0.520529197080292,0.0770985401459854,26,34,44,4.749844890510949
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,2192,5.6622673357664235,2.9074999999999998,19.43225,12411.69,0.613594890510949,0.046532846715328466,3,121,104,4.910593065693431
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,2192,5.019457116788321,2.0725000000000002,19.18249999999999,11002.65,0.5912408759124088,0.043795620437956206,3,95,76,5.0153010948905115
SEA_LA_VIENTIANE,Laos,Vientiane,2192,4.911453010948906,0.9125000000000001,20.468249999999983,10765.905,0.4931569343065693,0.05291970802919708,4,66,110,3.8773950729927007
SEA_TL_DILI,Timor-Leste,Dili,2192,4.537890054744525,1.485,18.373999999999995,9947.055,0.5552007299270073,0.04105839416058394,5,53,48,5.195871350364964
SEA_TH_BANGKOK,Thailand,Bangkok,2192,4.4165260036496345,1.71,17.69225,9681.025,0.5602189781021898,0.03512773722627737,0,50,65,3.2522764598540146
