entity_id,country,location_name,canonical_latitude,canonical_longitude,nasa_power_source_entity_key,nasa_power_source_latitude,nasa_power_source_longitude,nasa_power_distance_to_canonical_km,nasa_power_resolution_method,open_meteo_source_entity_key,open_meteo_source_latitude,open_meteo_source_longitude,open_meteo_distance_to_canonical_km,open_meteo_resolution_method,mean_daily_precip_mm,total_precip_2020_2025_mm,wet_day_ratio,heavy_rain_day_ratio,longest_wet_spell_days,longest_dry_spell_days,mean_source_abs_diff_mm
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,4.9031,114.9398,NASA_POWER_DAILY:4.903:114.94,4.903,114.94,0.0248,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:4.8858:114.963,4.8857646,114.96297,3.2102,nearest_canonical_coordinate_within_50km,10.121774635036497,22186.93,0.8818430656934306,0.13184306569343066,129,8,7.8412500000000005
SEA_ID_JAKARTA,Indonesia,Jakarta,-6.2088,106.8456,NASA_POWER_DAILY:-6.209:106.846,-6.209,106.846,0.0495,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:-6.2214:106.8562,-6.221441,106.856186,1.829,nearest_canonical_coordinate_within_50km,6.861797445255474,15041.06,0.8293795620437956,0.05474452554744526,195,22,5.425246350364963
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,11.5564,104.9282,NASA_POWER_DAILY:11.556:104.928,11.556,104.928,0.0495,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:11.5641:104.9464,11.564148,104.94643,2.1648,nearest_canonical_coordinate_within_50km,5.019457116788321,11002.65,0.5912408759124088,0.043795620437956206,95,76,5.0153010948905115
SEA_LA_VIENTIANE,Laos,Vientiane,17.9757,102.6331,NASA_POWER_DAILY:17.976:102.633,17.976,102.633,0.035,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:17.9613:102.5948,17.961334,102.59475,4.3596,nearest_canonical_coordinate_within_50km,4.911453010948906,10765.905,0.4931569343065693,0.05291970802919708,66,110,3.8773950729927007
SEA_MM_YANGON,Myanmar,Yangon,16.8409,96.1735,NASA_POWER_DAILY:16.841:96.174,16.841,96.174,0.0544,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:16.8366:96.201,16.836554,96.20096,2.9622,nearest_canonical_coordinate_within_50km,6.627285583941606,14527.01,0.5255474452554745,0.0885036496350365,164,108,5.875346715328467
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,3.139,101.6869,NASA_POWER_DAILY:3.139:101.687,3.139,101.687,0.0111,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:3.1283:101.6855,3.1282952,101.68548,1.2007,nearest_canonical_coordinate_within_50km,8.0970825729927,17748.805,0.8576642335766423,0.08667883211678833,110,8,6.86327098540146
SEA_PH_MANILA,Philippines,Manila,14.5995,120.9842,NASA_POWER_DAILY:14.6:120.984,14.6,120.984,0.0596,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:14.587:121.0028,14.586995,121.002785,2.4358,nearest_canonical_coordinate_within_50km,8.187078010948905,17946.075,0.8097627737226277,0.08302919708029197,121,15,7.132604927007299
SEA_SG_SINGAPORE,Singapore,Singapore,1.3521,103.8198,NASA_POWER_DAILY:1.352:103.82,1.352,103.82,0.0249,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:1.3708:103.8024,1.3708259,103.80237,2.8443,nearest_canonical_coordinate_within_50km,11.319197080291971,24811.68,0.9187956204379562,0.14142335766423358,136,8,10.455164233576642
SEA_TH_BANGKOK,Thailand,Bangkok,13.7563,100.5018,NASA_POWER_DAILY:13.756:100.502,13.756,100.502,0.0397,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:13.7434:100.4959,13.743409,100.495865,1.5702,nearest_canonical_coordinate_within_50km,4.4165260036496345,9681.025,0.5602189781021898,0.03512773722627737,50,65,3.2522764598540146
SEA_TL_DILI,Timor-Leste,Dili,-8.5569,125.5603,NASA_POWER_DAILY:-8.557:125.56,-8.557,125.56,0.0348,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:-8.6116:125.5508,-8.611599,125.55077,6.1719,nearest_canonical_coordinate_within_50km,4.537890054744525,9947.055,0.5552007299270073,0.04105839416058394,53,48,5.195871350364964
SEA_VN_HANOI,Vietnam,Hanoi,21.0278,105.8342,NASA_POWER_DAILY:21.028:105.834,21.028,105.834,0.0304,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:21.0545:105.8071,21.05448,105.807106,4.0875,nearest_canonical_coordinate_within_50km,5.674274635036497,12438.01,0.520529197080292,0.0770985401459854,34,44,4.749844890510949
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,10.8231,106.6297,NASA_POWER_DAILY:10.823:106.63,10.823,106.63,0.0346,nearest_canonical_coordinate_within_50km,OPEN_METEO_ARCHIVE:10.7909:106.6313,10.790861,106.6313,3.5891,nearest_canonical_coordinate_within_50km,5.6622673357664235,12411.69,0.613594890510949,0.046532846715328466,121,104,4.910593065693431
