column_name,dtype,feature_group,modeling_role,meaning
entity_id,object,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
date,datetime64[ns],identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
split,object,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
country,object,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
location_name,object,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
canonical_latitude,float64,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
canonical_longitude,float64,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
year,int32,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
month,int32,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
month_name,object,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
day_of_year,int32,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
is_leap_year,int64,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
season_quarter,object,identifier_or_time,metadata,"Identifier, location descriptor, coordinate, temporal split, or calendar field."
target_nasa_power_precipitation_mm,float64,target_candidate,target_candidate,Rainfall target candidate. Use sensitivity analysis before selecting a final target.
target_open_meteo_precipitation_mm,float64,target_candidate,target_candidate,Rainfall target candidate. Use sensitivity analysis before selecting a final target.
target_baseline_two_source_mean_mm,float64,target_candidate,target_candidate,Rainfall target candidate. Use sensitivity analysis before selecting a final target.
target_nasa_reference_consensus_mm,float64,target_candidate,target_candidate,Rainfall target candidate. Use sensitivity analysis before selecting a final target.
target_open_meteo_reference_consensus_mm,float64,target_candidate,target_candidate,Rainfall target candidate. Use sensitivity analysis before selecting a final target.
target_reference_consensus_band_mm,float64,target_uncertainty,quality_or_weight_feature,"Feature describing disagreement, calibration uncertainty, or target confidence."
source_bias_nasa_minus_open_meteo_mm,float64,target_uncertainty,quality_or_weight_feature,"Feature describing disagreement, calibration uncertainty, or target confidence."
source_abs_diff_precipitation_mm,float64,target_uncertainty,quality_or_weight_feature,"Feature describing disagreement, calibration uncertainty, or target confidence."
source_relative_abs_diff_precipitation,float64,target_uncertainty,quality_or_weight_feature,"Feature describing disagreement, calibration uncertainty, or target confidence."
source_bias_train_city_month_mm,float64,target_uncertainty,quality_or_weight_feature,"Feature describing disagreement, calibration uncertainty, or target confidence."
wet_day_disagreement,int64,target_uncertainty,quality_or_weight_feature,"Feature describing disagreement, calibration uncertainty, or target confidence."
high_source_gap_10mm,int64,target_uncertainty,quality_or_weight_feature,"Feature describing disagreement, calibration uncertainty, or target confidence."
high_source_gap_20mm,int64,target_uncertainty,quality_or_weight_feature,"Feature describing disagreement, calibration uncertainty, or target confidence."
month_sin,float64,calendar_encoding,predictor,Cyclic calendar encoding for seasonality.
month_cos,float64,calendar_encoding,predictor,Cyclic calendar encoding for seasonality.
day_of_year_sin,float64,calendar_encoding,predictor,Cyclic calendar encoding for seasonality.
day_of_year_cos,float64,calendar_encoding,predictor,Cyclic calendar encoding for seasonality.
temp_mean_c_mean_two_sources,float64,weather_summary,predictor,Two-source mean meteorological predictor.
temp_max_c_mean_two_sources,float64,weather_summary,predictor,Two-source mean meteorological predictor.
temp_min_c_mean_two_sources,float64,weather_summary,predictor,Two-source mean meteorological predictor.
relative_humidity_pct_mean_two_sources,float64,weather_summary,predictor,Two-source mean meteorological predictor.
wind_speed_ms_mean_two_sources,float64,weather_summary,predictor,Two-source mean meteorological predictor.
surface_pressure_kpa_mean_two_sources,float64,weather_summary,predictor,Two-source mean meteorological predictor.
