column_name,reason
nasa_power_calibrated_to_open_meteo_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
nasa_power_precipitation_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
nasa_power_relative_humidity_pct,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
nasa_power_surface_pressure_kpa,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
nasa_power_temp_max_c,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
nasa_power_temp_mean_c,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
nasa_power_temp_min_c,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
nasa_power_wind_speed_ms,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
nasa_wet_day,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_calibrated_to_nasa_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_precipitation_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_relative_humidity_pct,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_surface_pressure_kpa,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_temp_max_c,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_temp_mean_c,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_temp_min_c,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_wet_day,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
open_meteo_wind_speed_ms,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
precipitation_mm_abs_diff,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
precipitation_mm_mean_two_sources,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
relative_humidity_pct_source_diff_nasa_minus_open_meteo,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
source_bias_train_city_fallback_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
surface_pressure_kpa_source_diff_nasa_minus_open_meteo,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
temp_max_c_source_diff_nasa_minus_open_meteo,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
temp_mean_c_source_diff_nasa_minus_open_meteo,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
temp_min_c_source_diff_nasa_minus_open_meteo,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
wind_speed_ms_source_diff_nasa_minus_open_meteo,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_canonical_latitude,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_canonical_longitude,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_day_of_year_cos,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_day_of_year_sin,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_dry_spell_days_prev,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_month_cos,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_month_sin,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_rainfall_lag_1d_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_rainfall_lag_30d_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_rainfall_lag_7d_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_rainfall_rolling_30d_sum_prev_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_rainfall_rolling_7d_mean_prev_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_rainfall_rolling_90d_mean_prev_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_relative_humidity_pct_mean_two_sources,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_relative_humidity_pct_source_abs_diff,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_source_abs_diff_precipitation_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_source_bias_train_city_month_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_source_relative_abs_diff_precipitation,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_surface_pressure_kpa_mean_two_sources,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_surface_pressure_kpa_source_abs_diff,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_target_reference_consensus_band_mm,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_temp_max_c_mean_two_sources,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_temp_mean_c_mean_two_sources,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_temp_mean_c_source_abs_diff,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_temp_min_c_mean_two_sources,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_was_wet_previous_day,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_wet_spell_days_prev,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_wind_speed_ms_mean_two_sources,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
z_wind_speed_ms_source_abs_diff,"not_exported_to_keep_processed_dataset_slim; retained in raw data, intermediate notebook state, or preprocessing report"
