column_name,role,dtype
entity_id,identifier,object
date,identifier,datetime64[ns]
split,identifier,object
country,identifier,object
location_name,identifier,object
canonical_latitude,strict_forecast_predictor,float64
canonical_longitude,strict_forecast_predictor,float64
year,metadata_or_review,int64
month,metadata_or_review,int64
month_name,metadata_or_review,object
day_of_year,metadata_or_review,int64
is_leap_year,metadata_or_review,int64
season_quarter,metadata_or_review,object
target_nasa_power_precipitation_mm,target_candidate,float64
target_open_meteo_precipitation_mm,target_candidate,float64
target_baseline_two_source_mean_mm,target_candidate,float64
target_nasa_reference_consensus_mm,target_candidate,float64
target_open_meteo_reference_consensus_mm,target_candidate,float64
target_reference_consensus_band_mm,quality_metadata_not_predictor,float64
source_bias_nasa_minus_open_meteo_mm,quality_metadata_not_predictor,float64
source_abs_diff_precipitation_mm,quality_metadata_not_predictor,float64
source_relative_abs_diff_precipitation,quality_metadata_not_predictor,float64
source_bias_train_city_month_mm,quality_metadata_not_predictor,float64
wet_day_disagreement,quality_metadata_not_predictor,int64
high_source_gap_10mm,quality_metadata_not_predictor,int64
high_source_gap_20mm,quality_metadata_not_predictor,int64
month_sin,strict_forecast_predictor,float64
month_cos,strict_forecast_predictor,float64
day_of_year_sin,strict_forecast_predictor,float64
day_of_year_cos,strict_forecast_predictor,float64
temp_mean_c_mean_two_sources,weather_assisted_predictor,float64
temp_max_c_mean_two_sources,weather_assisted_predictor,float64
temp_min_c_mean_two_sources,weather_assisted_predictor,float64
relative_humidity_pct_mean_two_sources,weather_assisted_predictor,float64
wind_speed_ms_mean_two_sources,weather_assisted_predictor,float64
surface_pressure_kpa_mean_two_sources,weather_assisted_predictor,float64
temp_mean_c_source_abs_diff,metadata_or_review,float64
temp_max_c_source_abs_diff,metadata_or_review,float64
temp_min_c_source_abs_diff,metadata_or_review,float64
relative_humidity_pct_source_abs_diff,metadata_or_review,float64
wind_speed_ms_source_abs_diff,metadata_or_review,float64
surface_pressure_kpa_source_abs_diff,metadata_or_review,float64
rainfall_lag_1d_mm,strict_forecast_predictor,float64
rainfall_lag_7d_mm,strict_forecast_predictor,float64
rainfall_lag_30d_mm,strict_forecast_predictor,float64
rainfall_rolling_7d_mean_prev_mm,strict_forecast_predictor,float64
rainfall_rolling_30d_sum_prev_mm,strict_forecast_predictor,float64
rainfall_rolling_90d_mean_prev_mm,strict_forecast_predictor,float64
wet_spell_days_prev,strict_forecast_predictor,float64
dry_spell_days_prev,strict_forecast_predictor,float64
was_wet_previous_day,strict_forecast_predictor,float64
rainfall_lag_1d_mm_was_imputed,imputation_flag,int64
rainfall_lag_7d_mm_was_imputed,imputation_flag,int64
rainfall_lag_30d_mm_was_imputed,imputation_flag,int64
rainfall_rolling_7d_mean_prev_mm_was_imputed,imputation_flag,int64
rainfall_rolling_30d_sum_prev_mm_was_imputed,imputation_flag,int64
rainfall_rolling_90d_mean_prev_mm_was_imputed,imputation_flag,int64
wet_spell_days_prev_was_imputed,imputation_flag,int64
dry_spell_days_prev_was_imputed,imputation_flag,int64
was_wet_previous_day_was_imputed,imputation_flag,int64
