feature_column,source_column,feature_group,leakage_status
feature_canonical_latitude,canonical_latitude,location,safe_for_strict_forecast_X
feature_canonical_longitude,canonical_longitude,location,safe_for_strict_forecast_X
feature_month_sin,month_sin,calendar,safe_for_strict_forecast_X
feature_month_cos,month_cos,calendar,safe_for_strict_forecast_X
feature_day_of_year_sin,day_of_year_sin,calendar,safe_for_strict_forecast_X
feature_day_of_year_cos,day_of_year_cos,calendar,safe_for_strict_forecast_X
feature_rainfall_lag_1d_mm,rainfall_lag_1d_mm,rainfall_history,safe_for_strict_forecast_X
feature_rainfall_lag_7d_mm,rainfall_lag_7d_mm,rainfall_history,safe_for_strict_forecast_X
feature_rainfall_lag_30d_mm,rainfall_lag_30d_mm,rainfall_history,safe_for_strict_forecast_X
feature_rainfall_rolling_7d_mean_prev_mm,rainfall_rolling_7d_mean_prev_mm,rainfall_history,safe_for_strict_forecast_X
feature_rainfall_rolling_30d_sum_prev_mm,rainfall_rolling_30d_sum_prev_mm,rainfall_history,safe_for_strict_forecast_X
feature_rainfall_rolling_90d_mean_prev_mm,rainfall_rolling_90d_mean_prev_mm,rainfall_history,safe_for_strict_forecast_X
feature_wet_spell_days_prev,wet_spell_days_prev,rainfall_history,safe_for_strict_forecast_X
feature_dry_spell_days_prev,dry_spell_days_prev,rainfall_history,safe_for_strict_forecast_X
feature_was_wet_previous_day,was_wet_previous_day,rainfall_history,safe_for_strict_forecast_X
feature_rainfall_lag_1d_mm_was_imputed,rainfall_lag_1d_mm_was_imputed,imputation_flag,safe_for_strict_forecast_X
feature_rainfall_lag_7d_mm_was_imputed,rainfall_lag_7d_mm_was_imputed,imputation_flag,safe_for_strict_forecast_X
feature_rainfall_lag_30d_mm_was_imputed,rainfall_lag_30d_mm_was_imputed,imputation_flag,safe_for_strict_forecast_X
feature_rainfall_rolling_7d_mean_prev_mm_was_imputed,rainfall_rolling_7d_mean_prev_mm_was_imputed,imputation_flag,safe_for_strict_forecast_X
feature_rainfall_rolling_30d_sum_prev_mm_was_imputed,rainfall_rolling_30d_sum_prev_mm_was_imputed,imputation_flag,safe_for_strict_forecast_X
feature_rainfall_rolling_90d_mean_prev_mm_was_imputed,rainfall_rolling_90d_mean_prev_mm_was_imputed,imputation_flag,safe_for_strict_forecast_X
feature_wet_spell_days_prev_was_imputed,wet_spell_days_prev_was_imputed,imputation_flag,safe_for_strict_forecast_X
feature_dry_spell_days_prev_was_imputed,dry_spell_days_prev_was_imputed,imputation_flag,safe_for_strict_forecast_X
feature_was_wet_previous_day_was_imputed,was_wet_previous_day_was_imputed,imputation_flag,safe_for_strict_forecast_X
