column_name,reason
year,metadata_or_intermediate_column_not_needed_for_strict_forecast_X
month,metadata_or_intermediate_column_not_needed_for_strict_forecast_X
month_name,metadata_or_intermediate_column_not_needed_for_strict_forecast_X
day_of_year,metadata_or_intermediate_column_not_needed_for_strict_forecast_X
is_leap_year,metadata_or_intermediate_column_not_needed_for_strict_forecast_X
season_quarter,metadata_or_intermediate_column_not_needed_for_strict_forecast_X
target_reference_consensus_band_mm,same_day_source_uncertainty_or_quality_metadata_not_allowed_in_X
source_bias_nasa_minus_open_meteo_mm,same_day_source_uncertainty_or_quality_metadata_not_allowed_in_X
source_abs_diff_precipitation_mm,same_day_source_uncertainty_or_quality_metadata_not_allowed_in_X
source_relative_abs_diff_precipitation,same_day_source_uncertainty_or_quality_metadata_not_allowed_in_X
source_bias_train_city_month_mm,same_day_source_uncertainty_or_quality_metadata_not_allowed_in_X
wet_day_disagreement,same_day_source_uncertainty_or_quality_metadata_not_allowed_in_X
high_source_gap_10mm,same_day_source_uncertainty_or_quality_metadata_not_allowed_in_X
high_source_gap_20mm,same_day_source_uncertainty_or_quality_metadata_not_allowed_in_X
temp_mean_c_mean_two_sources,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
temp_max_c_mean_two_sources,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
temp_min_c_mean_two_sources,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
relative_humidity_pct_mean_two_sources,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
wind_speed_ms_mean_two_sources,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
surface_pressure_kpa_mean_two_sources,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
temp_mean_c_source_abs_diff,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
temp_max_c_source_abs_diff,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
temp_min_c_source_abs_diff,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
relative_humidity_pct_source_abs_diff,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
wind_speed_ms_source_abs_diff,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
surface_pressure_kpa_source_abs_diff,same_day_weather_or_weather_source_gap_excluded_from_strict_forecast_X
