station_id,download_status,rows,path
BMM00048097,ok,1678,data\groundtruth\cache\ghcnd\BMM00048097.dly
BXM00096315,ok,2070,data\groundtruth\cache\ghcnd\BXM00096315.dly
CBM00048991,ok,1128,data\groundtruth\cache\ghcnd\CBM00048991.dly
CHM00059417,ok,2070,data\groundtruth\cache\ghcnd\CHM00059417.dly
ID000097372,ok,785,data\groundtruth\cache\ghcnd\ID000097372.dly
IDM00096091,ok,975,data\groundtruth\cache\ghcnd\IDM00096091.dly
IDM00096739,ok,814,data\groundtruth\cache\ghcnd\IDM00096739.dly
IDM00096749,ok,696,data\groundtruth\cache\ghcnd\IDM00096749.dly
IDM00097310,ok,269,data\groundtruth\cache\ghcnd\IDM00097310.dly
IDM00097320,ok,785,data\groundtruth\cache\ghcnd\IDM00097320.dly
LAM00048940,ok,1703,data\groundtruth\cache\ghcnd\LAM00048940.dly
MY000096465,ok,1949,data\groundtruth\cache\ghcnd\MY000096465.dly
MYM00048647,ok,2070,data\groundtruth\cache\ghcnd\MYM00048647.dly
MYM00048650,ok,2070,data\groundtruth\cache\ghcnd\MYM00048650.dly
RP000098429,ok,2039,data\groundtruth\cache\ghcnd\RP000098429.dly
RP000098430,ok,2070,data\groundtruth\cache\ghcnd\RP000098430.dly
SNM00048698,ok,2070,data\groundtruth\cache\ghcnd\SNM00048698.dly
TH000048430,ok,1793,data\groundtruth\cache\ghcnd\TH000048430.dly
TH000048456,ok,1887,data\groundtruth\cache\ghcnd\TH000048456.dly
TH000048459,ok,1946,data\groundtruth\cache\ghcnd\TH000048459.dly
THW00041018,ok,1885,data\groundtruth\cache\ghcnd\THW00041018.dly
VMM00048845,ok,2070,data\groundtruth\cache\ghcnd\VMM00048845.dly
VMM00048917,ok,2070,data\groundtruth\cache\ghcnd\VMM00048917.dly
