column,role,uses_selected_target_directly
entity_id,strict_forecast_feature,False
feature_canonical_latitude,strict_forecast_feature,False
feature_canonical_longitude,strict_forecast_feature,False
feature_month_sin,strict_forecast_feature,False
feature_month_cos,strict_forecast_feature,False
feature_day_of_year_sin,strict_forecast_feature,False
feature_day_of_year_cos,strict_forecast_feature,False
feature_rainfall_lag_1d_mm,strict_forecast_feature,False
feature_rainfall_lag_7d_mm,strict_forecast_feature,False
feature_rainfall_lag_30d_mm,strict_forecast_feature,False
feature_rainfall_rolling_7d_mean_prev_mm,strict_forecast_feature,False
feature_rainfall_rolling_30d_sum_prev_mm,strict_forecast_feature,False
feature_rainfall_rolling_90d_mean_prev_mm,strict_forecast_feature,False
feature_wet_spell_days_prev,strict_forecast_feature,False
feature_dry_spell_days_prev,strict_forecast_feature,False
feature_was_wet_previous_day,strict_forecast_feature,False
feature_rainfall_lag_1d_mm_was_imputed,strict_forecast_feature,False
feature_rainfall_lag_7d_mm_was_imputed,strict_forecast_feature,False
feature_rainfall_lag_30d_mm_was_imputed,strict_forecast_feature,False
feature_rainfall_rolling_7d_mean_prev_mm_was_imputed,strict_forecast_feature,False
feature_rainfall_rolling_30d_sum_prev_mm_was_imputed,strict_forecast_feature,False
feature_rainfall_rolling_90d_mean_prev_mm_was_imputed,strict_forecast_feature,False
feature_wet_spell_days_prev_was_imputed,strict_forecast_feature,False
feature_dry_spell_days_prev_was_imputed,strict_forecast_feature,False
feature_was_wet_previous_day_was_imputed,strict_forecast_feature,False
feature_provider_forecast_precipitation_mm,external_forecast_proxy,False
feature_provider_forecast_log1p_precipitation,external_forecast_proxy,False
feature_provider_forecast_probability_pct,external_forecast_proxy,False
feature_provider_forecast_is_wet,external_forecast_proxy,False
feature_nasa_seasonal_baseline_mm,train_only_nasa_climatology,False
feature_provider_minus_nasa_baseline_mm,external_forecast_proxy,False
